Id,Label,Type
175,Danube and Black Sea Railway and Harbour Company,0
176,Beaconsfield Mortgage Investment Society,0
177,Beal & Harrison Solicitors,0
178,Beckett & Co.,0
179,Bedford and Northampton Railway Company,0
180,Belfast and County Down Railway Company,0
181,Belfast and Northern Counties Railway Company,0
182,Belfast Banking Company,0
183,Belfast Bread Consumer's Company,0
184,Belfast Central Railway Company,0
185,Belfast Flax and Jute Company Limited,0
186,Belfast Holywood and Banger Railway Company,0
187,Belfast Iron Ore Company Limited,0
188,Belfast Salt Mining Company,0
189,Belfast Standard Fire Office Company,0
190,Belfast Steamship Company Limited,0
191,Belfast Street Tramways Company,0
192,Belize Estate and Produce Company Limited,0
193,Ben Rydding Hydropathic Company,0
194,Bengal Mills Company,0
195,Benhar Coal Company Limited,0
196,"Benjamin Whiteworth & Brothers ",0
197,Bennett Brown & Co.,0
198,Berehaven Copper Mining Company Limited,0
199,"Berkin Manor, Horton, Bucks",0
200,Berlin Phosphate Sewage and Manure Company Limited,0
201,Bessbrook Spinning Company Limited,0
202,Beyrouth Waterworks Company Limited,0
203,Bilbao Iron Ore Company Limited,0
204,Bilson and Crump Meadow Collieries Company Limited,0
205,Bird & Collins,0
206,Birdseye Creek Gold Mining Company Limited,0
207,Birkdale Land Company Limited,0
208,Birkenhead Brewery Company Limited,0
209,Birkenhead Railway Company,0
210,Birkenhead Tramways Company Limited,0
211,Birmingham and Midland Counties Val de Travers Paving Company Limited,0
212,Birmingham and District Land Company Limted,0
213,Birmingham and Midlands Bank,0
214,Birmingham Aquarium Company Limited,0
215,Birmingham Banking Company Limited,0
216,Birmingham Canal Navigation Limited,0
217,Birmingham Dudley and District Banking Company,0
218,Birmingham Exchange Buildings Company Limited,0
219,Birmingham General Cementry,0
220,Birmingham Joint Stock Bank Limited,0
221,Birmingham Nut and Bolt Company Limited,0
222,Birmingham Railway Carriage and Wagon Company Limited,0
223,Birmingham Small Arms and Metal Company Limited,0
224,Birmingham Tramways and Omnibus Company Limted,0
225,Blackpool Pier Company,0
226,Blackrock and Passage Railway Company,0
227,Blair and Summer,0
228,Blakely Hall Coal and Iron Company Limited,0
229,Blane Valley Railway Company,0
230,Blue Tent Consolidated Hydraulic Gold Mines of California Limited,0
231,"Blyth, Greene & Co.",0
232,Boiler Insurance and Steam Power Company Limited,0
233,Bolcknow Insurance Company Limited,0
234,Bolckow Vaughan and Co. Limited,0
235,Bolivar Railway Company Limited,0
236,Bolton Water Works Company Limited,0
237,"Bolton & Co. ",0
238,Bombay Baroda and Central India Railway Company,0
239,Bombay Gas Company Limited,0
240,Bordier & Company,0
241,Borelli Tea Company Limited,0
242,Borneo Company Limited,0
243,Borough Wharves and Warhouses Limited,0
244,"Borthwick, Wark & Co.",0
245,"Bosanquet, Curits & Co.",0
246,"Bosanquet, Salt and Company",0
247,Bottishead Colliery Company,0
248,Bournemouth Gas and Water Company,0
249,Bouverie & Co.,0
250,Bowrin's Patent Press Company Limited,0
251,Bradford and Worth Valley Railway Company,0
252,Bradford Banking Company,0
253,Bradford Brick and Tile Company Limited,0
254,Bradford Cemetery Company,0
255,Bradford Commercial Joint Stock Bank,0
256,Bradford District Bank Limited,0
257,Bradford Exchange Company Limited,0
258,Bradford Old Bank Limited,0
259,Bradford Victoria Hotel Company Limited,0
260,Braendlin Armoury Company Limited,0
261,Braid Water Spinning Company Limited,0
262,Brandon Armoury Company Limited,0
263,Brazilian Street Railway Company Limited,0
264,Brazilian Submarine Telegraph Company Limited,0
265,Brecon and Merthyr Tydfil Junction Railway Company,0
266,Great Western of Brazil Railway Company Limited,0
267,Brennan and Company Limited,0
268,Brentford Gas Company,0
269,Brewery Company Limited,0
270,Bridge of Allan Hydropathic Company Limited,0
271,Bridge Town Waterworks Company,0
272,Bridgewater Navigation Company Limited,0
273,Bridport Railway Company,0
274,Brighouse and Rastrick Liberal Club Building Company,0
275,Brighton and Hove General Gas Company,0
276,Brighton and South Coast Railway Company,0
277,Brighton Aquarium Company,0
278,Brighton Hotel Company Limited,0
279,Brighouse Town Hall Company Limited,0
280,Bringhton and Co. Opretive Supply Association Limited,0
281,Bristol and Ilfracombe Hotel Company Limited,0
282,Bristol and North Somerset Railway Company,0
283,Bristol and Portishead Pier and Railway Company,0
284,Bristol and South Wales Railway Wagon Company Limited,0
285,Bristol and West of England Bank Limited,0
286,Bristol and West of England Land Company Limited,0
287,Bristol Cemetery Company,0
288,Bristol City Hotel Company Limited,0
289,Bristol College Green Hotel Company Limited,0
290,Bristol Collieries Company Limited,0
291,Bristol Crown Voute Works Company Limited,0
292,Bristol Port and Channel Dock Company,0
293,Bristol Lead Company Limited,0
294,Bristol Port Railway and Pier Railway Company,0
295,Bristol Steam Navigation Company Limited,0
296,"Bristol Sugar Refinery Company ",0
297,Bristol Tramways Company Limited,0
298,Bristol United Gas Light Company,0
299,Bristol Wagon Works Company Limited,0
300,Bristol Water Works Company,0
301,Briston Gas Light and Coke Company,0
302,Britannia Home and Colonial Fire Association Limited,0
303,Britannia Mills Flour and Bread Company Limited,0
304,"British American Land Company ",0
305,British and African Steam Navigation Company,0
306,British and American Mortgage Company Limited,0
307,British and Australasian Trust and Loan Company Limited,0
308,British and Burmese Steam Navigation Company Limited,0
309,British and Eastern Shipping Company Limited,0
310,British and Foreign Marine Insurance Company Limited,0
311,British and Irish Steam Packet Company Limited,0
312,British and Irish Sugar Candle Company limited,0
313,British Empire Mutual Life Assurance Company,0
314,British Equitable Assurance Company,0
315,British Gas Light Company Limited,0
316,British Indian Tea Company Limited,0
317,British Land Company Limited,0
318,British Linen Company Bank,0
319,British Port and Channel Dock Warehouse Company Limited,0
320,British Patent Morocco Leather Company Limited,0
321,British Plate Glass Company Limited,0
322,British Shipowners Company Limited,0
323,British Wagon Company Limited,0
324,British Workman Public House Company Limited,0
325,Briton Life Association Limited,0
326,Briton Medical and General Life Association,0
327,Bromley Gas Consumers Company,0
328,Bromsbury Hill Coal and Iron Company Limited,0
329,Worcester Bromyard and Leominster Railway Company,0
330,Brooks & Cottan,0
331,Broseley Gas and Coke Company Limited,0
333,Brown Davis and Company Limited,0
334,Brown Ewing & Co.,0
335,"Brown, Bayley and Dixon Limited",0
336,"Brown, Marshalls and Co. Limited",0
337,Broxburn Oil Company Limited,0
338,"Buckfastleigh, Totnes and South Devon Railway Company",0
339,Bucknall Railway Company,0
340,Bucks and Osan Union Bank Limited,0
341,Budda Coal and Iron Compnay Limited,0
342,Buena Ventura Company Limited,0
343,Buenos Ayres Gas Company Limited,0
344,Buenos Ayres and Campana Railway Company,0
345,Buenos Ayres and Ensenada Port Railway Company Limited,0
346,Buenos Ayres Great Southern Railway Company Limited,0
347,Buffalo and Lake Huron Railway Company,0
348,Bugail Slate Company Limited,0
349,Burham Brick Lime and Cement Company Limited,0
350,Burton Uttoxeter and Ashbourne Union Bank,0
351,Busby Banking Company,0
352,Busby Railway Company,0
353,Buxton Place Company,0
354,Bwlch United Mine,0
355,C. Davidson and Sons Limited,0
356,C. Onions Limited,0
357,C.J. Hambro & Merchants,0
358,"Cable Submarine Telegraph Company Limited ",0
359,Cadogan and Hans Place Estate Limited,0
360,Cadogan and Hans Place Railway Company,0
361,Cadogan Mansions Limited,0
362,Cagliari Gas and Water Company Limited,0
363,Calais Tramways Company Limited,0
364,Calder Chemical Company Limited,0
365,Caledonian Railway Company,0
366,Caledonian Banking Company,0
367,Caledonian Heritable Security Company Limited,0
368,Caledonian Insurance Company,0
369,Caledonian Invetsment Assocition Limted,0
