Source,Target,Type
1073,1852,Undirected
1073,1962,Undirected
1073,1976,Undirected
1813,1852,Undirected
1813,1962,Undirected
1813,1976,Undirected
1852,1962,Undirected
1852,1976,Undirected
1962,1976,Undirected
573,1345,Undirected
1324,1526,Undirected
157,2087,Undirected
421,1394,Undirected
421,946,Undirected
775,1628,Undirected
175,636,Undirected
175,638,Undirected
175,2127,Undirected
636,638,Undirected
636,2127,Undirected
638,2127,Undirected
1488,1942,Undirected
469,733,Undirected
469,1796,Undirected
469,1903,Undirected
469,2211,Undirected
469,2217,Undirected
733,1796,Undirected
733,1903,Undirected
733,2211,Undirected
733,2217,Undirected
1796,1903,Undirected
1796,2211,Undirected
1796,2217,Undirected
1903,2211,Undirected
1903,2217,Undirected
2211,2217,Undirected
159,1400,Undirected
159,1432,Undirected
159,1451,Undirected
159,2086,Undirected
159,2094,Undirected
159,2178,Undirected
1432,1451,Undirected
1432,2086,Undirected
1432,2094,Undirected
1432,2178,Undirected
1451,2086,Undirected
1451,2094,Undirected
1451,2178,Undirected
2086,2094,Undirected
2086,2178,Undirected
2094,2178,Undirected
129,1108,Undirected
129,1711,Undirected
129,1799,Undirected
129,2275,Undirected
1108,1711,Undirected
1108,1799,Undirected
1108,2275,Undirected
1711,1799,Undirected
1711,2275,Undirected
1799,2275,Undirected
46,48,Undirected
46,1248,Undirected
48,1248,Undirected
25,727,Undirected
25,1709,Undirected
727,1709,Undirected
771,1067,Undirected
771,1353,Undirected
771,2189,Undirected
1067,1353,Undirected
1067,2189,Undirected
1353,2189,Undirected
501,503,Undirected
1307,1656,Undirected
1307,1951,Undirected
1656,1951,Undirected
278,1251,Undirected
278,1457,Undirected
1251,1457,Undirected
677,1521,Undirected
677,1795,Undirected
1521,1795,Undirected
288,2209,Undirected
314,952,Undirected
629,1856,Undirected
504,852,Undirected
504,1503,Undirected
504,1778,Undirected
852,1503,Undirected
852,1778,Undirected
1503,1778,Undirected
1379,1935,Undirected
1000,1226,Undirected
803,916,Undirected
803,1165,Undirected
916,1165,Undirected
1433,1434,Undirected
1199,1681,Undirected
1199,1811,Undirected
1199,1967,Undirected
1681,1811,Undirected
1681,1967,Undirected
1811,1967,Undirected
338,346,Undirected
338,406,Undirected
338,571,Undirected
338,675,Undirected
338,1007,Undirected
338,1040,Undirected
338,1251,Undirected
338,1379,Undirected
338,1381,Undirected
338,1431,Undirected
338,1683,Undirected
338,1695,Undirected
338,1808,Undirected
346,406,Undirected
346,571,Undirected
346,675,Undirected
346,1007,Undirected
346,1040,Undirected
346,1251,Undirected
346,1379,Undirected
346,1381,Undirected
346,1431,Undirected
346,1683,Undirected
346,1695,Undirected
346,1808,Undirected
406,571,Undirected
406,675,Undirected
406,1007,Undirected
406,1040,Undirected
406,1251,Undirected
406,1379,Undirected
406,1381,Undirected
406,1431,Undirected
406,1683,Undirected
406,1695,Undirected
406,1808,Undirected
571,675,Undirected
571,1007,Undirected
571,1040,Undirected
571,1251,Undirected
571,1379,Undirected
571,1381,Undirected
571,1431,Undirected
571,1683,Undirected
571,1695,Undirected
571,1808,Undirected
675,1007,Undirected
675,1040,Undirected
675,1251,Undirected
675,1379,Undirected
675,1381,Undirected
675,1431,Undirected
675,1683,Undirected
675,1695,Undirected
675,1808,Undirected
1007,1040,Undirected
1007,1251,Undirected
1007,1379,Undirected
1007,1381,Undirected
1007,1431,Undirected
1007,1683,Undirected
1007,1695,Undirected
1007,1808,Undirected
1040,1251,Undirected
1040,1379,Undirected
1040,1381,Undirected
1040,1431,Undirected
1040,1683,Undirected
